epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,11.2066,1.14661,2.56409,2.79137,1.16119,0.02342,0.83383,0.51147,0.33857,0.02242,0.79822,0.45489,0.28095,0.97643,2.4637,2.69197,1.02645,0.00038,0.00038,0.00038
2,20.4692,1.17724,2.23526,2.01787,1.11238,0.60931,0.51632,0.53591,0.33882,0.5883,0.49852,0.51124,0.30329,1.14624,2.8995,2.54028,1.09636,0.000772278,0.000772278,0.000772278
3,29.694,1.25936,2.31946,1.50885,1.17733,0.8496,0.33525,0.45282,0.29425,0.82652,0.32517,0.41957,0.27155,1.29786,2.61007,2.33605,1.2066,0.00115664,0.00115664,0.00115664
4,38.7734,1.22192,2.25579,1.35291,1.20075,0.64619,0.4184,0.48143,0.31209,0.66325,0.40327,0.45291,0.26099,1.21325,2.87111,1.88198,1.17202,0.00153307,0.00153307,0.00153307
5,47.8357,1.14402,2.14866,1.29593,1.17659,0.64245,0.47181,0.52678,0.34436,0.58282,0.42699,0.45274,0.28689,1.19382,3.12791,1.77127,1.19716,0.00190159,0.00190159,0.00190159
6,57.726,1.14218,2.20772,1.22894,1.14251,0.70149,0.53695,0.60601,0.40201,0.677,0.52244,0.56444,0.34382,1.16369,3.22783,1.93521,1.16888,0.001901,0.001901,0.001901
7,68.1864,1.16526,2.19315,1.2214,1.16225,0.7301,0.61004,0.64319,0.42818,0.69026,0.56869,0.58758,0.33363,1.16606,3.46696,1.62301,1.21218,0.0018812,0.0018812,0.0018812
8,78.3365,1.1324,2.10762,1.18653,1.1465,0.74088,0.56844,0.63836,0.41753,0.72183,0.55442,0.61454,0.35646,1.19002,3.01465,1.57393,1.20673,0.0018614,0.0018614,0.0018614
9,89.0375,1.13247,2.18199,1.17338,1.14571,0.69616,0.54599,0.63208,0.44156,0.68343,0.50148,0.57805,0.33936,1.10924,3.17215,1.69411,1.17365,0.0018416,0.0018416,0.0018416
10,99.2036,1.1132,2.12184,1.13243,1.14426,0.81416,0.57201,0.68726,0.47294,0.80107,0.5638,0.64163,0.39016,1.11959,3.09943,1.46024,1.16903,0.0018218,0.0018218,0.0018218
11,109.235,1.09882,2.0492,1.09445,1.14619,0.78103,0.66172,0.73967,0.516,0.78501,0.6176,0.68985,0.4146,1.06853,2.69215,1.35225,1.1289,0.001802,0.001802,0.001802
12,119.466,1.06198,2.00185,1.04661,1.10992,0.79771,0.65528,0.73906,0.51976,0.77459,0.63798,0.69759,0.44143,1.01723,2.49438,1.34376,1.1198,0.0017822,0.0017822,0.0017822
13,129.507,1.05567,2.00167,1.0641,1.10838,0.77011,0.60534,0.71258,0.50048,0.80599,0.5794,0.68673,0.42656,1.07908,2.30449,1.32495,1.14376,0.0017624,0.0017624,0.0017624
14,139.506,1.0496,1.9525,1.0164,1.09416,0.73626,0.67656,0.72704,0.50489,0.73626,0.67656,0.71324,0.45122,1.07103,2.24377,1.28432,1.13983,0.0017426,0.0017426,0.0017426
